"","author_name","lead_or_other","n","Total"
"1686","Layzer R","other",1,1
"1687","Lazzer S","other",1,1
"1688","LE Mansec Y","lead",1,1
"1689","LE Roux Mallouf T","other",1,1
"1690","Le Troter A","other",1,1
"1691","Learsi S","other",1,1
"1692","Learsi SK","other",1,1
"1693","LeDez K","other",1,1
"1694","LeDoux MS","other",1,1
"1695","Lee A","lead",1,1
"1696","Lee DY","lead",1,1
"1697","Lee M","lead",1,1
"1698","Lee SC","other",1,1
"1699","Lee SCK","other",1,1
"1700","Lee SSM","lead",1,1
"1701","Leer JW","other",1,1
"1702","Lefèvre F","other",1,1
"1703","LeGar M","other",1,1
"1704","Legros P","other",1,1
"1705","Lemos EC","other",1,1
"1706","Lenker H","other",1,1
"1707","Lentz R","lead",1,1
"1708","Leonardis L","other",1,1
"1709","Leong HT","other",1,1
"1710","Lepley AS","lead",1,3
"1711","Lepley LK","other",1,1
"1712","Leprêtre PM","other",1,1
"1713","Lévy P","other",1,1
"1714","Lewek MD","lead",1,1
"1715","Lexell J","lead",1,4
"1716","Li S","lead",1,4
"1717","Li Y","other",1,1
"1718","Li ZM","other",1,1
"1719","Lichtblau N","other",1,1
"1720","Lilienbaum A","other",1,1
"1721","Limonta E","other",1,1
"1722","Lin J","other",1,1
"1723","Lin JH","other",1,1
"1724","Lin JP","lead",1,1
"1725","Lin KH","lead",1,2
"1726","Lin KH","other",1,2
"1727","Lindenryd A","other",1,1
"1728","Lindner T","other",1,1
"1729","Linnamo V","lead",1,1
"1730","Liotard C","other",1,1
"1731","Lishchynsky JT","other",1,1
"1732","Litchy WJ","other",1,1
"1733","Liu J","other",1,1
"1734","Liu WC","other",1,1
"1735","Livny A","other",1,1
"1736","Lloyd A","other",1,3
"1737","Lloyd DG","lead",1,2
"1738","Lloyd DG","other",1,2
"1739","Lo WLA","other",1,1
"1740","Lo YL","lead",1,1
"1741","Lobotková J","other",1,1
"1742","Lomax M","other",1,1
"1743","Longo S","other",1,1
"1744","Lopes VHF","other",1,1
"1745","Lord SR","other",1,1
"1746","Löscher WN","other",1,1
"1747","Löseth S","other",1,1
"1748","Louis J","other",1,1
"1749","Low JL","lead",1,1
"1750","Lowe T","lead",1,1
"1751","Lowery MM","lead",1,1
"1752","Loyd BJ","lead",1,1
"1753","Luc BA","lead",1,1
"1754","Ludvig D","other",1,1
"1755","Luft A","other",1,1
"1756","Luh JJ","other",1,1
"1757","Lund H","other",1,1
"1758","Lussiana T","other",1,1
"1759","Lythgo ND","other",1,1
"1760","Macaluso GM","other",1,1
"1761","Machado F","other",1,1
"1762","Machner A","other",1,3
"1763","MacInnis MJ","other",1,1
"1764","MacIntosh BR","other",1,1
"1765","MacKinnon SN","other",1,1
"1766","MacLaren DP","other",1,1
"1767","MacLennan RJ","lead",1,2
"1768","MacLennan RJ","other",1,2
"1769","Maddison P","other",1,1
"1770","Maddison PJ","other",1,1
"1771","Mademli L","lead",1,2
"1772","Mademli L","other",1,2
"1773","Madinabeitia-Mancebo E","other",1,1
"1774","Madrid A","lead",1,1
"1775","Maffulli N","other",1,1
"1776","Magnus CR","lead",1,2
"1777","Magnus CR","other",1,2
"1778","Magnussen LV","other",1,1
"1779","Magnusson SP","other",1,1
"1780","Magrini MA","other",1,1
"1781","Mahan MA","other",1,1
"1782","Major B","other",1,1
"1783","Makarovskii AN","other",1,1
"1784","Maker GL","other",1,1
"1785","Maki A","other",1,1
"1786","Malakieh J","other",1,1
"1787","Maldonado A","other",1,1
"1788","Malta ES","other",1,1
"1789","Manaf FA","lead",1,1
"1790","Maniar N","other",1,1
"1791","Mannion AF","lead",1,2
"1792","Mannion AF","other",1,2
"1793","Manonelles P","other",1,1
"1794","Manz WJ","other",1,1
"1795","Maranhão R","other",1,1
"1796","Marathamuthu S","lead",1,1
"1797","Marechal M","other",1,1
"1798","Marek T","other",1,1
"1799","Maresca RD","other",1,1
"1800","Marín-Pagán C","other",1,1
"1801","Markovic G","other",1,1
"1802","Marques M","other",1,1
"1803","Marqueste T","lead",1,1
"1804","Márquez G","lead",1,2
"1805","Márquez G","other",1,2
"1806","Marquez J","other",1,1
"1807","Marsh GD","other",1,1
"1808","Marshall PWM","lead",1,2
"1809","Marshall PWM","other",1,2
"1810","Marston L","other",1,1
"1811","Martinez-Aparicio C","other",1,1
"1812","Martinez R","other",1,1
"1813","Märtson A","other",1,1
"1814","Marty J","other",1,1
"1815","Marušic J","lead",1,1
"1816","Masgrau A","other",1,1
"1817","Maso F","other",1,1
"1818","Massazza G","other",1,1
"1819","Masuda T","other",1,1
"1820","Mater A","other",1,1
"1821","Matkowski B","other",1,3
"1822","Matlep M","other",1,1
"1823","Mattei JP","other",1,1
"1824","Mattioli R","other",1,1
"1825","Mattsson P","other",1,1
"1826","Mau-Moeller A","lead",1,8
"1827","Maxwell NS","other",1,1
"1828","Mayo X","other",1,1
"1829","Mazara N","other",1,1
"1830","McArdle A","other",1,1
"1831","McCarthy DG","other",1,1
"1832","McClean A","lead",1,1
"1833","McClure P","other",1,1
"1834","McConnell AK","lead",1,1
"1835","McDorman J","other",1,1
"1836","McFarland AJ","other",1,1
"1837","McIlroy WE","other",1,1
"1838","McKay J","other",1,1
"1839","McKenzie DC","other",1,1
"1840","McKibans KI","other",1,1
"1841","McLagan JR","other",1,1
"1842","McLean L","lead",1,1
"1843","McMorland G","other",1,1
"1844","McNair P","other",1,1
"1845","McNamara TR","other",1,1
"1846","McNulty P","other",1,1
"1847","McNulty PA","other",1,1
"1848","McPhee JS","lead",1,2
"1849","McPhee JS","other",1,2
"1850","McPhee M","other",1,1
"1851","Medja F","other",1,1
"1852","Meesen R","other",1,1
"1853","Meir R","other",1,1
"1854","Meixensberger J","other",1,1
"1855","Melady DEE","other",1,1
"1856","Melo TG","other",1,1
"1857","Melville GW","other",1,1
"1858","Mendez-Villaneuva A","other",1,1
"1859","Meng H","other",1,1
"1860","Menotti F","other",1,1
"1861","Menzies C","other",1,1
"1862","Merletti R","lead",1,1
"1863","Messan F","other",1,1
"1864","Messineo L","other",1,1
"1865","Messonnier L","other",1,1
"1866","Messonnier LA","other",1,1
"1867","Metcalf E","lead",1,2
"1868","Metcalf E","other",1,2
"1869","Mets T","other",1,1
"1870","Meyer JP","other",1,1
"1871","Miadowicz B","other",1,1
"1872","Mian OS","other",1,1
"1873","Mickel C","other",1,1
"1874","Mickeviciene D","other",1,1
"1875","Mickeviciene D","other",1,1
"1876","Mickleborough TD","other",1,1
"1877","Middleton J","other",1,1
"1878","Midgley AW","other",1,1
"1879","Miehm JD","other",1,1
"1880","Mignardot JB","other",1,1
"1881","Mikkelsen EK","lead",1,1
"1882","Milanese C","other",1,1
"1883","Mileva KN","other",1,1
"1884","Milioni F","other",1,3
"1885","Miller A","other",1,1
"1886","Miller JD","lead",1,1
"1887","Miller M","other",1,4
"1888","Miller SC","other",1,1
"1889","Millet G","other",1,1
"1890","Minahan CL","other",1,1
"1891","Miner TM","other",1,1
"1892","Minett GM","lead",1,5
"1893","Minetti AE","other",1,1
"1894","Minetto MA","lead",1,3
"1895","Mira J","other",1,1
"1896","Miramonti AA","other",1,1
"1897","Miyakawa S","other",1,1
"1898","Miyamoto M","other",1,1
"1899","Miyamoto N","other",1,1
"1900","Miyamura M","other",1,1
"1901","Moen PM","other",1,1
"1902","Molloy CB","lead",1,1
"1903","Monjo F","other",1,1
"1904","Monks MR","lead",1,1
"1905","Montel F","other",1,1
"1906","Moore CW","lead",1,2
"1907","Moore CW","other",1,2
"1908","Moore DR","lead",1,1
"1909","Moorhouse KM","lead",1,1
"1910","Mora-Rodriguez R","other",1,1
"1911","Mora I","other",1,1
"1912","Morales-Artacho AJ","other",1,1
"1913","Moran J","other",1,1
"1914","Morat T","lead",1,1
"1915","Morel B","other",1,4
"1916","Morelli A","other",1,1
"1917","Morelot-Panzini C","other",1,1
"1918","Morf C","other",1,1
"1919","Morgan DL","other",1,1
"1920","Morgan DR","other",1,1
"1921","Morgan MD","other",1,1
"1922","Morgan PT","lead",1,1
"1923","Morimoto M","other",1,1
"1924","Mork PJ","other",1,1
"1925","Morotome Y","other",1,1
"1926","Morré HH","other",1,1
"1927","Morrisette DC","other",1,1
"1928","Morrison S","lead",1,1
"1929","Morrison SA","other",1,3
"1930","Morrissey D","other",1,1
"1931","Morse C","other",1,1
"1932","Morton JP","lead",1,1
"1933","Moseley GL","lead",1,1
"1934","Mosier EM","other",1,1
"1935","Moudy SC","other",1,1
"1936","Moxham J","other",1,1
"1937","Muddle TWD","other",1,1
"1938","Mudie K","other",1,1
"1939","Mueller K","other",1,1
"1940","Mueller S","other",1,1
"1941","Muendle B","other",1,1
"1942","Muirhead A","other",1,1
"1943","Mulder ER","lead",1,1
"1944","Muller PTG","other",1,1
"1945","Mündel T","other",1,1
"1946","Murakami H","other",1,1
"1947","Murias JM","other",1,1
"1948","Murphy AP","lead",1,1
"1949","Murphy JR","other",1,1
"1950","Murphy M","other",1,1
"1951","Murray WM","other",1,1
"1952","Murthy NS","other",1,1
"1953","Musa AMM","lead",1,1
"1954","Myers SD","other",1,1
"1955","Nagai T","other",1,1
"1956","Nagem DA","other",1,1
"1957","Naimi SS","other",1,1
"1958","Nair A","other",1,1
"1959","Nakae M","other",1,1
"1960","Nakazawa K","other",1,1
"1961","Narici M","other",1,1
"1962","Nativi JN","other",1,1
"1963","Neary JP","other",1,1
"1964","Nebelung W","other",1,1
"1965","Nedergaard RB","other",1,1
"1966","Negro F","lead",1,1
"1967","Nehring M","other",1,1
"1968","Neil SE","lead",1,1
"1969","Neilson P","other",1,1
"1970","Netea MG","other",1,1
"1971","Nettleton J","other",1,1
"1972","Neuhaus D","other",1,1
"1973","Neumann W","other",1,1
"1974","Newham DJ","lead",1,2
"1975","Newham DJ","other",1,2
"1976","Newman SA","lead",1,1
"1977","Newsam CJ","lead",1,1
"1978","Newsom-Davis J","lead",1,1
"1979","Ng A","other",1,1
"1980","Ng GYF","other",1,1
"1981","Nguyen D","other",1,1
"1982","Niazi IK","other",1,1
"1983","Nicholas MK","other",1,1
"1984","Nichols JM","other",1,1
"1985","Nichols S","other",1,1
"1986","Nicole S","other",1,1
"1987","Nicolon L","other",1,1
"1988","Nielsen B","other",1,1
"1989","Nielsen NP","other",1,1
"1990","Nielsen TS","other",1,1
"1991","Niemitukia L","other",1,1
"1992","Nightingale P","other",1,1
"1993","Nissman D","other",1,1
"1994","Nist LD","other",1,1
"1995","Njemini R","other",1,1
"1996","Noakes TD","other",1,1
"1997","Noé F","other",1,1
"1998","Noh B","other",1,1
"1999","Noirez P","other",1,1
"2000","Nolta BE","other",1,1
"2001","Nolte PA","other",1,1
"2002","Noorkõiv M","lead",1,1
"2003","Norberto MS","lead",1,1
"2004","Nordblom J","other",1,1
"2005","Nordlund Ekblom MM","other",1,1
"2006","Nordlund MM","lead",1,1
"2007","Norum M","lead",1,1
"2008","Nottin S","other",1,1
"2009","Noual J","other",1,1
"2010","Nowicky AV","other",1,1
"2011","Nowson CA","other",1,1
"2012","Nuzzo JL","lead",1,1
"2013","Nybo L","other",1,5
"2014","Nygård M","other",1,1
"2015","O'Connell S","other",1,1
"2016","O'Connor H","other",1,1
"2017","O'Doherty AF","other",1,1
"2018","O'Dwyer N","other",1,1
"2019","O'Keeffe K","lead",1,1
"2020","O'Leary DD","other",1,1
"2021","Ogata H","lead",1,1
"2022","Ogawa T","lead",1,1
"2023","Ogilvie D","other",1,1
"2024","Ogita F","other",1,1
"2025","Ohta Y","lead",1,1
"2026","Oki K","lead",1,1
"2027","Oliveira AB","other",1,1
"2028","Oliveira FN","other",1,1
"2029","Oliver N","other",1,1
"2030","Olivier N","other",1,1
"2031","Olsen S","lead",1,1
"2032","Onambele GL","lead",1,1
"2033","Onambele GN","other",1,3
"2034","Oney-Marlow TM","other",1,1
"2035","Ong MT","other",1,1
"2036","Opplert J","other",1,1
"2037","Orizio C","other",1,1
"2038","Orlando G","other",1,1
"2039","Osame M","other",1,1
"2040","Osborne JO","lead",1,1
"2041","Oskouei AE","lead",1,1
"2042","Oskouei MA","lead",1,1
"2043","Osman BM","lead",1,1
"2044","Osthaus WA","other",1,1
"2045","Otis JS","other",1,1
"2046","Otzel DM","lead",1,1
"2047","Oullion R","other",1,1
"2048","Ouyang J","other",1,1
"2049","Overgaard K","other",1,1
"2050","Paddock N","lead",1,1
"2051","Padial P","other",1,1
"2052","Pageaux B","other",1,3
"2053","Paillard T","lead",1,1
"2054","Pain MTG","other",1,1
"2055","Paiva GP","other",1,1
"2056","Pajoutan M","lead",1,1
"2057","Pakarinen A","other",1,1
"2058","Paneroni M","lead",1,1
"2059","Panichi R","other",1,1
"2060","Panissa VLG","other",1,1
"2061","Pap G","lead",1,3
"2062","Paravlic AH","lead",1,1
"2063","Paris HL","lead",1,1
"2064","Park CM","other",1,1
"2065","Park J","other",1,1
"2066","Park ND","lead",1,1
"2067","Park SH","other",1,1
"2068","Parker Simpson L","other",1,1
"2069","Parkes MJ","other",1,1
"2070","Parkinson J","other",1,1
"2071","Pasquet B","other",1,1
"2072","Passelergue P","other",1,1
"2073","Paternoster F","other",1,1
"2074","Paternoster FK","lead",1,2
"2075","Paternoster FK","other",1,2
"2076","Pathare NC","other",1,1
"2077","Patikas D","other",1,1
"2078","Patoz A","other",1,1
"2079","Patten C","other",1,1
"2080","Paulauskas H","other",1,1
"2081","Pauw-Gommans I","other",1,1
"2082","Pavesi G","other",1,1
"2083","Pawlak M","other",1,1
"2084","Pearce AJ","other",1,1
"2085","Pearce KM","other",1,1
"2086","Pearcey GEP","other",1,1
"2087","Pearson SJ","lead",1,1
"2088","Pedrocchi A","lead",1,1
"2089","Peiffer JJ","other",1,1
"2090","Pellegrini MJ","lead",1,1
"2091","Peltonen H","lead",1,2
"2092","Peltonen H","other",1,2
"2093","Peltonen J","other",1,1
"2094","Pelttari P","other",1,1
"2095","Pensini M","lead",1,4
"2096","Peolsson A","other",1,1
"2097","Percik R","lead",1,1
"2098","Pereira G","lead",1,2
"2099","Pereira G","other",1,2
"2100","Pereira HM","lead",1,2
"2101","Pereira HM","other",1,2
"2102","Pereira JM","other",1,1
"2103","Pérez Olivera AL","lead",1,1
"2104","Perreault ME","other",1,1
"2105","Perrey S","lead",1,5
"2106","Persson JK","other",1,1
"2107","Pesola AJ","other",1,1
"2108","Petersen T","other",1,1
"2109","Peterson CL","lead",1,1
"2110","Peterson GW","lead",1,1
"2111","Peterson K","other",1,1
"2112","Peterson LB","other",1,1
"2113","Petit PD","other",1,1
"2114","Petruolo A","other",1,1
"2115","Petterson SC","other",1,1
"2116","Petzke F","other",1,1
"2117","Peura G","other",1,1
"2118","Peyrot N","other",1,1
"2119","Pfeifer K","other",1,1
"2120","Pfeiffer RF","other",1,1
"2121","Pfeiffer SJ","other",1,1
"2122","Pfile KR","other",1,1
"2123","Philippot P","lead",1,1
"2124","Phillips EM","other",1,1
"2125","Phillips K","other",1,1
"2126","Phillips SM","other",1,1
"2127","Piasecki M","other",1,1
"2128","Picelli A","other",1,1
"2129","Pickard CM","other",1,1
"2130","Picton L","other",1,1
"2131","Piepenbrock S","other",1,1
"2132","Pietrosimone B","lead",1,6
"2133","Pigozzi F","other",1,1
"2134","Piirainen JM","other",1,1
"2135","Piitulainen H","other",1,1
"2136","Pinheiro FA","other",1,1
"2137","Pinotti M","other",1,1
"2138","Pinto AD","lead",1,1
"2139","Pinto MD","lead",1,1
"2140","Pires FO","lead",1,1
"2141","Pisot R","other",1,1
"2142","Pistoia F","lead",1,1
"2143","Pistoia ML","other",1,1
"2144","Pitt M","lead",1,1
"2145","Plamondon A","lead",1,2
"2146","Plamondon A","other",1,2
"2147","Plautard M","lead",1,2
"2148","Plautard M","other",1,2
"2149","Podnar S","lead",1,2
"2150","Podnar S","other",1,2
"2151","Podpecan A","other",1,1
"2152","Pokorná K","lead",1,1
"2153","Polkey MI","other",1,1
"2154","Pomeroy V","other",1,1
"2155","Ponari M","other",1,1
"2156","Pons JL","other",1,1
"2157","Poortmans J","other",1,1
"2158","Pootz S","other",1,1
"2159","Popovic DB","lead",1,1
"2160","Popovic MB","other",1,1
"2161","Poppele RE","other",1,1
"2162","Porter MS","lead",1,1
"2163","Portus M","other",1,1
"2164","Post M","lead",1,1
"2165","Pouslen MK","other",1,1
"2166","Power K","lead",1,4
"2167","Prado-Medeiros CL","other",1,1
"2168","Prak RF","other",1,3
"2169","Preiss S","other",1,1
"2170","Pretorius T","other",1,1
"2171","Prinsen H","lead",1,1
"2172","Prosser M","other",1,1
"2173","Pruse J","other",1,1
"2174","Pucci AR","lead",1,1
"2175","Puchaux K","other",1,1
"2176","Puleo A","other",1,1
"2177","Pulkovski N","other",1,1
"2178","Pullinen T","other",1,1
"2179","Pulverenti T","other",1,1
"2180","Pursley PJ","other",1,1
"2181","Qiu D","other",1,1
"2182","Qiu J","lead",1,1
"2183","Quarshie AT","other",1,1
"2184","Rabahi T","other",1,1
"2185","Rabita G","other",1,1
"2186","Raccuglia G","other",1,1
"2187","Raccuglia M","other",1,1
"2188","Radel R","other",1,1
"2189","Rafsanjani H","lead",1,1
"2190","Rahe-Meyer N","lead",1,1
"2191","Rahmani A","other",1,1
"2192","Ramdani S","other",1,1
"2193","Rammelt S","other",1,1
"2194","Ramos-Campo DJ","other",1,1
"2195","Ramos JS","other",1,1
"2196","Rampichini S","other",1,1
"2197","Rampinini E","lead",1,2
"2198","Rampinini E","other",1,2
"2199","Ramsay JW","other",1,1
"2200","Rance M","other",1,1
"2201","Randall CA","lead",1,1
"2202","Randerath W","other",1,1
"2203","Ranganathan VK","other",1,1
"2204","Rantalainen T","other",1,1
"2205","Rashid U","other",1,1
"2206","Rasmussen C","other",1,1
"2207","Rasmussen SB","other",1,1
"2208","Ratel S","lead",1,16
"2209","Ratkevicius A","other",1,1
"2210","Ratkevicius A","other",1,1
"2211","Ratter J","other",1,1
"2212","Rattey J","lead",1,3
"2213","Raux M","lead",1,1
"2214","Ravichandran VJ","other",1,1
"2215","Reardon G","other",1,1
"2216","Reddel SW","other",1,1
"2217","Redolfi S","other",1,1
"2218","Reed KE","other",1,1
"2219","Reeve D","other",1,1
"2220","Reeves NP","other",1,1
"2221","Reggiani C","other",1,1
"2222","Reid KF","other",1,1
"2223","Reilly KT","other",1,1
"2224","Reilly TP","other",1,1
"2225","Reinkensmeyer DJ","other",1,1
"2226","Remaud A","other",1,1
"2227","Renfroe JB","other",1,1
"2228","Renken R","other",1,1
"2229","Renken RJ","other",1,1
"2230","Rennie MJ","other",1,1
"2231","Renshaw DW","other",1,1
"2232","Renström P","other",1,1
"2233","Reuter EM","other",1,1
"2234","Reya M","lead",1,1
"2235","Rezasoltani A","other",1,1
"2236","Ribeiro N","lead",1,1
"2237","Rich S","other",1,1
"2238","Richardson D","other",1,1
"2239","Riemenschneider M","other",1,1
"2240","Riley NA","lead",1,1
"2241","Riley ZA","other",1,1
"2242","Río-Rodríguez D","other",1,1
"2243","Risvang LC","other",1,1
"2244","Rittweger J","other",1,1
"2245","Rivers E","other",1,1
"2246","Rivière V","other",1,1
"2247","Robertson CT","lead",1,1
"2248","Robinson WR","lead",1,2
"2249","Robinson WR","other",1,2
"2250","Robles-García V","other",1,1
"2251","Roche N","other",1,1
"2252","Rochette L","other",1,1
"2253","Rodacki A","other",1,1
"2254","Rodacki ALF","other",1,1
"2255","Roddick JM","other",1,1
"2256","Rodriguez-Falces J","other",1,1
"2257","Roduit B","other",1,1
"2258","Roetenberg D","other",1,1
"2259","Rognlien SH","other",1,1
"2260","Rohkohl K","other",1,1
"2261","Romer LM","other",1,1
"2262","Romero-Arenas S","other",1,1
"2263","Ronchi LG","other",1,1
"2264","Rønning PO","other",1,1
"2265","Ross EZ","lead",1,2
"2266","Ross EZ","other",1,2
"2267","Rosted A","other",1,1
"2268","Rota S","other",1,1
"2269","Rota V","other",1,1
"2270","Roth E","other",1,1
"2271","Royer N","lead",1,2
"2272","Royer N","other",1,2
"2273","Rozand V","other",1,3
"2274","Rozen N","other",1,1
"2275","Rubin DI","other",1,1
"2276","Rubio-Arias JÁ","other",1,1
"2277","Rudas E","other",1,1
"2278","Rudi D","other",1,1
"2279","Rudolph KS","other",1,1
"2280","Ruggiero L","other",1,1
"2281","Ruhschulte H","other",1,1
"2282","Rupp T","other",1,3
"2283","Rush JL","lead",1,1
"2284","Russ DW","other",1,1
"2285","Rutkauskas S","other",1,1
"2286","Rüttimann J","other",1,1
"2287","Ruyet PL","other",1,1
"2288","Ryan MM","other",1,1
"2289","Rytkönen T","other",1,1
"2290","Sabbahi MA","other",1,1
"2291","Saboisky J","lead",1,1
"2292","Sacchetti M","other",1,1
"2293","Sadauskas S","other",1,1
"2294","Saggin P","other",1,1
"2295","Saggini R","other",1,1
"2296","Sahin H","other",1,1
"2297","Saimouaa K","other",1,1
"2298","Sakkas GK","other",1,1
"2299","Saldanha A","lead",1,1
"2300","Sale DG","other",1,1
"2301","Salomoni S","lead",1,1
"2302","Salvini Tde F","other",1,1
"2303","Salzmann GM","other",1,1
"2304","Samararatne J","other",1,1
"2305","Šambaher N","other",1,1
"2306","Samuel OW","other",1,1
"2307","Sanchez AM","other",1,1
"2308","Sanchez Ramos da Silva A","other",1,1
"2309","Sandberg A","other",1,1
"2310","Sander A","other",1,1
"2311","Sandfort GL","other",1,1
"2312","Sands SA","other",1,1
"2313","Santiago PR","other",1,1
"2314","Santos-Mariano AC","lead",1,1
"2315","Santos PS","lead",1,1
"2316","Sara LK","lead",1,1
"2317","Sarà M","other",1,1
"2318","Sarah R Dias Da Silva","other",1,1
"2319","Sars V","lead",1,1
"2320","Sassi A","other",1,1
"2321","Satkunskiene D","other",1,1
"2322","Sato K","other",1,1
"2323","Saugy J","other",1,1
"2324","Saulicz E","other",1,1
"2325","Saunders B","other",1,1
"2326","Saxton JM","other",1,1
"2327","Sbitany H","other",1,1
"2328","Scaglioni G","other",1,4
"2329","Scalvini S","other",1,1
"2330","Scarborough MT","other",1,1
"2331","Schaefer A","other",1,1
"2332","Schauer N","other",1,1
"2333","Scherer J","other",1,1
"2334","Schieber MH","lead",1,1
"2335","Schilaty ND","other",1,1
"2336","Schilling BK","other",1,1
"2337","Schillings ML","other",1,1
"2338","Schilperoort JV","other",1,1
"2339","Schlegel J","other",1,1
"2340","Schlinder-Delap B","other",1,1
"2341","Schlinder Delap B","other",1,1
"2342","Schmitt K","lead",1,1
"2343","Schmitt S","other",1,1
"2344","Schneider G","other",1,1
"2345","Schneider W","other",1,1
"2346","Schneiders W","other",1,1
"2347","Schofield LM","other",1,1
"2348","Schönau E","other",1,1
"2349","Schreven S","other",1,1
"2350","Schubert DJ","other",1,1
"2351","Schuiling MH","other",1,1
"2352","Schüler J","other",1,1
"2353","Schumann M","lead",1,2
"2354","Schumann M","other",1,2
"2355","Schwartz C","lead",1,1
"2356","Schwartz TA","other",1,1
"2357","Scott DL","other",1,1
"2358","Scott OM","other",1,1
"2359","Secher NH","other",1,1
"2360","Sedliak M","other",1,1
"2361","Seiberl W","other",1,4
"2362","Seitz L","other",1,1
"2363","Selkow NM","other",1,1
"2364","Seluk L","other",1,1
"2365","Semmler JG","other",1,1
"2366","Senefeld JW","lead",1,1
"2367","Serpa MC","other",1,1
"2368","Serresse O","other",1,1
"2369","Seve C","other",1,1
"2370","Severijns D","lead",1,1
"2371","Seyidova-Khoshknabi D","other",1,1
"2372","Seynnes OR","lead",1,3
"2373","Shahvarpour A","other",1,1
"2374","Shaikh T","other",1,1
"2375","Sharma S","other",1,1
"2376","Sharpe GR","other",1,1
"2377","Shcherbakova NA","other",1,1
"2378","Shield A","lead",1,2
"2379","Shield A","other",1,2
"2380","Shih TT","other",1,1
"2381","Shima N","lead",1,2
"2382","Shima N","other",1,2
"2383","Shimoda M","lead",1,1
"2384","Shioda K","other",1,1
"2385","Shirai Y","other",1,1
"2386","Shoemaker ME","other",1,1
"2387","Shojaa M","other",1,1
"2388","Shoji M","lead",1,2
"2389","Shoji M","other",1,2
"2390","Shortridge-Baggett LM","other",1,1
"2391","Shourijeh MS","other",1,1
"2392","Sibley AR","lead",1,1
"2393","Sieber C","other",1,1
"2394","Siegler J","other",1,1
"2395","Siegmund GP","other",1,1
"2396","Siemionow V","other",1,1
"2397","Signal N","other",1,1
"2398","Silva-Couto Mde A","lead",1,1
"2399","Silva AMS","other",1,1
"2400","Silva BM","other",1,1
"2401","Silva RG","other",1,1
"2402","Similowski T","other",1,1
"2403","Simmonds MJ","other",1,1
"2404","Simon-Martínez C","other",1,1
"2405","Simon NG","lead",1,1
"2406","Simonelli C","other",1,1
"2407","Simonsen EB","other",1,1
"2408","Simpson M","lead",1,1
"2409","Šimunic B","other",1,1
"2410","Sipaviciene S","other",1,1
"2411","Sipilä S","other",1,1
"2412","Sirigu A","other",1,1
"2413","Sitaram R","other",1,1
"2414","Skafidas S","other",1,1
"2415","Skikas L","other",1,1
"2416","Skjødt M","other",1,1
"2417","Skripitz R","other",1,1
"2418","Smania N","other",1,1
"2419","Smith-Ryan AE","lead",1,1
"2420","Smith AE","other",1,1
"2421","Smith B","other",1,1
"2422","Smith IC","other",1,1
"2423","Smith J","other",1,1
"2424","Smith JL","lead",1,1
"2425","Smith JR","other",1,1
"2426","Smith KA","other",1,1
"2427","Smith PJ","other",1,1
"2428","Snape AE","other",1,1
"2429","So NF","lead",1,1
"2430","Solan MC","other",1,1
"2431","Solheim SA","other",1,1
"2432","Solianik R","lead",1,1
"2433","Solomon C","other",1,1
"2434","Son J","other",1,1
"2435","Soo J","lead",1,1
"2436","Sorenson EJ","other",1,1
"2437","Spaans F","lead",1,1
"2438","Spear SC","other",1,1
"2439","Spengler CM","other",1,1
"2440","Spiesshoefer J","lead",1,1
"2441","Spillane P","lead",1,1
"2442","Spinner R","other",1,1
"2443","Spring JN","lead",1,1
"2444","Sprott H","other",1,1
"2445","St Clair Gibson A","other",1,1
"2446","Stackhouse SK","other",1,5
"2447","Stafford RE","lead",1,1
"2448","Stager JM","other",1,1
"2449","Stålberg E","other",1,4
"2450","Stålberg EV","other",1,1
"2451","Stanley LE","other",1,1
"2452","Stannard SR","other",1,1
"2453","Stapleton MR","other",1,1
"2454","Stapley PJ","other",1,1
"2455","Stavropoulos E","other",1,1
"2456","Steele JR","other",1,1
"2457","Steens A","lead",1,2
"2458","Steens A","other",1,2
"2459","Stefanelli D","other",1,1
"2460","Stegeman DF","other",1,1
"2461","Stenager E","other",1,1
"2462","Stephan KE","other",1,1
"2463","Stevens A","other",1,1
"2464","Stevens J","other",1,1
"2465","Stewart CJ","lead",1,1
"2466","Stewart IB","other",1,1
"2467","Stewart RJC","other",1,1
"2468","Stickford JL","other",1,1
"2469","Stienstra R","other",1,1
"2470","Stirn I","other",1,1
"2471","Stoessel D","other",1,1
"2472","Stoter IK","lead",1,1
"2473","Stoykov ME","other",1,1
"2474","Stoykov NS","other",1,1
"2475","Stragier S","lead",1,2
"2476","Stragier S","other",1,2
"2477","Stratton K","lead",1,1
"2478","Strauss GR","other",1,1
"2479","Streckis V","lead",1,4
"2480","Strike S","other",1,1
"2481","Strohschein FJ","other",1,1
"2482","Strotmeyer ES","other",1,1
"2483","Strutton PH","other",1,1
"2484","Suetta C","lead",1,1
"2485","Sugihara Y","other",1,1
"2486","Sulzer J","lead",1,1
"2487","Sumrain M","other",1,1
"2488","Sun Y","lead",1,1
"2489","Sundberg CW","other",1,1
"2490","Suteebut R","other",1,1
"2491","Suzuki S","other",1,1
"2492","Suzuki T","lead",1,1
"2493","Svensson M","other",1,1
"2494","Swafford AP","lead",1,1
"2495","Sweep FC","other",1,1
"2496","Szczyglowski MK","other",1,1
"2497","Szilvas E","other",1,1
"2498","Szubski C","lead",1,1
"2499","Tai YF","other",1,1
"2500","Tam E","other",1,1
